,Season,Episode Number,Episode Name,Air Date,IMDb Rating,Votes
146,S11,E9 ,It Takes You Away,,6.3,6.7K
147,S11,E10 ,The Battle of Ranskoor Av Kolos,,5.3,6.2K
148,S12,E1 ,Spyfall: Part One,,6.7,7K
149,S12,E2 ,Spyfall: Part Two,,6.5,6.3K
150,S12,E3 ,Orphan 55,,4.2,7.1K
151,S12,E4 ,Nikola Tesla's Night of Terror,,6.5,5.8K
152,S12,E5 ,Fugitive of the Judoon,,7.5,6.4K
153,S12,E6 ,Praxeus,,5.2,5.4K
154,S12,E7 ,Can You Hear Me?,,5.7,4.9K
155,S12,E8 ,The Haunting of Villa Diodati,,7.1,5.2K
156,S12,E9 ,Ascension of the Cybermen,,6.5,4.8K
157,S12,E10 ,The Timeless Children,,5.1,6.7K
158,S13,E1 ,Flux: Chapter One - The Halloween Apocalypse,,6.7,5.1K
159,S13,E2 ,Flux: Chapter Two - War of the Sontarans,,7.0,4.2K
160,S13,E3 ,"Flux: Chapter Three - Once, Upon Time",,5.9,3.8K
161,S13,E4 ,Flux: Chapter Four - Village of the Angels,,7.7,4.2K
162,S13,E5 ,Flux: Chapter Five - Survivors of the Flux,,6.1,3.5K
163,S13,E6 ,Flux: Chapter Six - The Vanquishers,,5.3,
